Artist_Name,Album_Year,Song_Name,URL
Sa4,"EP: ""Bombay Sa4"" (2017)",Dialog,../lyrics/sa4/dialog.html
Saade; Eric,"album: ""Saade Vol. 2"" (2011)",Crashed On The Dance Floor,../lyrics/ericsaade/crashedonthedancefloor.html
Saadiq; Raphael,"album: ""Instant Vintage"" (2002)",Different Times,../lyrics/raphaelsaadiq/differenttimes.html
Saadiq; Raphael,"album: ""The Way I See It"" (2008)",Just One Kiss,../lyrics/raphaelsaadiq/justonekiss.html
Sabaton,"album: ""Primo Victoria"" (2005)",Panzer Battalion,../lyrics/sabaton/panzerbattalion.html
Sabaton,"album: ""Attero Dominatus"" (2006)",Für Immer(Re-armed Edition Bonus Track),../lyrics/sabaton/frimmer.html
Sabaton,"album: ""Metalizer"" (2007)",Thundergods,../lyrics/sabaton/thundergods.html
Sabaton,"album: ""Metalizer"" (2007)",Endless Nights,../lyrics/sabaton/endlessnights.html
Sabaton,"album: ""The Art Of War"" (2008)","Glorious Land(""The Art Of War Re-Armed"" Bonus Track)",../lyrics/sabaton/gloriousland.html
Sabaton,"album: ""The Last Stand"" (2016)",Rorke's Drift,../lyrics/sabaton/rorkesdrift.html
Sabina; Joaquin,"album: ""Inventario"" (1978)",Tratado De Impaciencia No. 10,../lyrics/joaquinsabina/tratadodeimpacienciano10.html
Sabina; Joaquin,"album: ""Inventario"" (1978)",Tango Del Quinielista,../lyrics/joaquinsabina/tangodelquinielista.html
Sabina; Joaquin,"album: ""Malas Compañías"" (1980)",Gulliver,../lyrics/joaquinsabina/gulliver.html
Sabina; Joaquin,"album: ""Malas Compañías"" (1980)",Mi Amigo Satán,../lyrics/joaquinsabina/miamigosatn.html
Sabina; Joaquin,"album: ""Hotel; Dulce Hotel"" (1987)",Que Se Llama Soledad,../lyrics/joaquinsabina/quesellamasoledad.html
Sabina; Joaquin,"album: ""Hotel; Dulce Hotel"" (1987)",Bruja,../lyrics/joaquinsabina/bruja.html
Sabina; Joaquin,"album: ""El Hombre Del Traje Gris"" (1988)",¡Al Ladrón!; ¡Al Ladrón!,../lyrics/joaquinsabina/alladrnalladrn.html
Sabina; Joaquin,"album: ""Mentiras Piadosas"" (1990)",Corre; Dijo La Tortuga,../lyrics/joaquinsabina/corredijolatortuga.html
Sabina; Joaquin,"album: ""Diario De Un Peatón"" (2003)",Me Plantó La Princesita Azul,../lyrics/joaquinsabina/meplantlaprincesitaazul.html
Sabino,"EP: ""Genaro Presenta: Este No Es El Disco"" (2018)",Única Testigo,../lyrics/sabino/unicatestigo.html
Sabre; Maverick,"album: ""When I Wake Up"" (2019)",Glory,../lyrics/mavericksabre/glory.html
Sabrina Carpenter,"album: ""EVOLution"" (2016)",Thumbs,../lyrics/sabrinacarpenter/thumbs.html
Sabrina Carpenter,"album: ""EVOLution"" (2016)",Mirage,../lyrics/sabrinacarpenter/mirage.html
Sabrina Claudio,"album: ""Christmas Blues"" (2020)",Warm December,../lyrics/sabrinaclaudio/warmdecember.html
Sacred Reich,"album: ""Ignorance"" (1987)",No Believers,../lyrics/sacredreich/nobelievers.html
Sacred Reich,"album: ""The American Way"" (1990)",State Of Emergency,../lyrics/sacredreich/stateofemergency.html
Sacred Reich,"album: ""The American Way"" (1990)",Who's To Blame,../lyrics/sacredreich/whostoblame.html
Sacred Reich,"album: ""Independent"" (1993)",Do It,../lyrics/sacredreich/doit.html
Sacred Reich,"album: ""Heal"" (1996)",Low,../lyrics/sacredreich/low.html
Sada Baby,"mixtape: ""Bartier Bounty"" (2019)",Hood Rich Skuba,../lyrics/sadababy/hoodrichskuba.html
Sada Baby,"mixtape: ""Skuba Sada 2"" (2020)",2K20(Deluxe Edition Bonus Track),../lyrics/sadababy/2k20.html
Sade,"album: ""Diamond Life"" (1984)",Your Love Is King,../lyrics/sade/yourloveisking.html
Sade,"album: ""Diamond Life"" (1984)",Frankies First Affair,../lyrics/sade/frankiesfirstaffair.html
Sade,"album: ""Promise"" (1985)",You're Not The Man,../lyrics/sade/yourenottheman.html
Sade,"album: ""Stronger Than Pride"" (1988)",Haunt Me,../lyrics/sade/hauntme.html
Sadek,"album: ""La Légende De Johnny Niuuum"" (2012)",Au Bout Du Chemin,../lyrics/sadek/auboutduchemin.html
Sadistik,"EP: ""Salo Sessions"" (2016)",Waves,../lyrics/sadistik/waves.html
Sadistik,"EP: ""Salo Sessions II"" (2018)",Crown,../lyrics/sadistik/crown.html
Sadistik,"EP: ""Salo Sessions II"" (2018)",Perseus (Remix),../lyrics/sadistik/perseusremix.html
Sadistik,"EP: ""Elysium"" (2020)",Sirens,../lyrics/sadistik/sirens.html
SAFE,"album: ""Stay"" (2019)",Summer's End 2,../lyrics/safe/summersend2.html
SafetySuit,"album: ""These Times"" (2012)",These Times,../lyrics/safetysuit/thesetimes.html
Saga,"album: ""Saga"" (1978)",How Long,../lyrics/saga/howlong.html
Saga,"album: ""Saga"" (1978)",Tired World (Chapter Six),../lyrics/saga/tiredworldchaptersix.html
Saga,"album: ""Images At Twilight"" (1979)",It's Time! (Chapter Three),../lyrics/saga/itstimechapterthree.html
Saga,"album: ""Images At Twilight"" (1979)",Slow Motion,../lyrics/saga/slowmotion.html
Saga,"album: ""Silent Knight"" (1980)",Compromise,../lyrics/saga/compromise.html
Saga,"album: ""Silent Knight"" (1980)",Help Me Out,../lyrics/saga/helpmeout.html
Saga,"album: ""Heads Or Tales"" (1983)",Intermission,../lyrics/saga/intermission.html
Saga,"album: ""Heads Or Tales"" (1983)",The Vendetta (Still Helpless),../lyrics/saga/thevendettastillhelpless.html
Saga,"album: ""Behaviour"" (1985)",Listen To Your Heart,../lyrics/saga/listentoyourheart.html
Saga,"album: ""Behaviour"" (1985)",You And The Night,../lyrics/saga/youandthenight.html
Saga,"album: ""Wildest Dreams"" (1987)",Don't Put Out The Fire,../lyrics/saga/dontputoutthefire.html
Saga,"album: ""Wildest Dreams"" (1987)",The Way Of The World,../lyrics/saga/thewayoftheworld.html
Saga,"album: ""Wildest Dreams"" (1987)",Angel,../lyrics/saga/angel.html
Saga,"album: ""The Security Of Illusion"" (1993)",Days Like These,../lyrics/saga/dayslikethese.html
Saga,"album: ""Steel Umbrellas"" (1994)",Say Goodbye To Hollywood,../lyrics/saga/saygoodbyetohollywood.html
Saga,"album: ""Generation 13"" (1995)",We Hope You're Feeling Better,../lyrics/saga/wehopeyourefeelingbetter.html
Saga,"album: ""Generation 13"" (1995)",Chances Are #2,../lyrics/saga/chancesare2.html
Saga,"album: ""Phase 1"" (1998)",You're Not Alone,../lyrics/saga/yourenotalone.html
Saga,"album: ""Phase 1"" (1998)",Mouse In A Maze,../lyrics/saga/mouseinamaze.html
Saga,"album: ""Marathon"" (2003)",How Are You?,../lyrics/saga/howareyou.html
Saga,"album: ""Sagacity"" (2014)",Go With The Flow,../lyrics/saga/gowiththeflow.html
Sage Francis,"album: ""Personal Journals"" (2002)",Hopeless,../lyrics/sagefrancis/hopeless.html
Sage Francis,"album: ""Personal Journals"" (2002)",Cup Of Tea,../lyrics/sagefrancis/cupoftea.html
Sage Francis,"mixtape: ""Sick Of Wasting"" (2009)",House Of Bees,../lyrics/sagefrancis/houseofbees.html
Sage Francis,"album: ""Li(f)e"" (2010)",Little Houdini,../lyrics/sagefrancis/littlehoudini.html
Sage Francis,"mixtape: ""Sick To D(eat)h"" (2013)",STD Intro (2005),../lyrics/sagefrancis/stdintro2005.html
Sage Francis,"mixtape: ""Sick To D(eat)h"" (2013)",Origin To Descent (2013),../lyrics/sagefrancis/origintodescent2013.html
Sage Francis,"album: ""Copper Gone"" (2014)",Once Upon A Blood Moon,../lyrics/sagefrancis/onceuponabloodmoon.html
Sage The Gemini,"EP: ""Gas Pedal"" (2013)",Gas Pedal,../lyrics/sagethegemini/gaspedal.html
Sage The Gemini,"album: ""Remember Me"" (2014)",Red Nose,../lyrics/sagethegemini/rednose.html
Sage The Gemini,"album: ""Remember Me"" (2014)",Put Me On,../lyrics/sagethegemini/putmeon.html
Sage The Gemini,"album: ""Morse Code"" (2017)",Grip,../lyrics/sagethegemini/grip.html
Sagopa Kajmer,"album: ""Sagopa Kajmer"" (2002)",Son Durak Uçurum (DJ Mic Check),../lyrics/sagopakajmer/sondurakuurumdjmiccheck.html
Sagopa Kajmer,"album: ""Bir Pesimistin Gözyaşları"" (2003)",Ölüm Ve Yaşam (Skit),../lyrics/sagopakajmer/lmveyaamskit.html
Sagopa Kajmer,"album: ""Bir Pesimistin Gözyaşları"" (2003)",Maskeli Balo,../lyrics/sagopakajmer/maskelibalo.html
Sagopa Kajmer,"album: ""Kötü İnsanları Tanıma Senesi"" (2008)",Bir Çıkar Yolum Yok,../lyrics/sagopakajmer/birkaryolumyok.html
Sagopa Kajmer,"mixtape: ""Şarkı Koleksiyoncusu"" (2009)",Ateşten Gömlek,../lyrics/sagopakajmer/atetengmlek.html
Sagopa Kajmer,"album: ""Kalp Hastası"" (2013)",Bulun,../lyrics/sagopakajmer/bulun.html
Sagopa Kajmer,"album: ""Ahmak Islatan"" (2017)",Bir Çok Kez Öldüm,../lyrics/sagopakajmer/birokkezldm.html
SahBabii,"mixtape: ""S.A.N.D.A.S."" (2017)",Pull Up Wit Ah Stick,../lyrics/sahbabii/pullupwitahstick.html
Said The Sky,"album: ""Wide-Eyed"" (2018)",Beautiful,../lyrics/saidthesky/beautiful.html
Said The Whale,"EP: ""West Coast Christmas"" (2007)",The Bones Of Winter,../lyrics/saidthewhale/thebonesofwinter.html
Saigon,"mixtape: ""Warning Shots"" (2004)",Stocking Cap,../lyrics/saigon/stockingcap.html
Saigon,"album: ""The Greatest Story Never Told"" (2011)",The Greatest Story Never Told,../lyrics/saigon/thegreateststorynevertold.html
Saigon,"album: ""The Greatest Story Never Told"" (2011)",What The Lovers Do,../lyrics/saigon/whattheloversdo.html
Saigon Kick,"album: ""Saigon Kick"" (1991)",My Life,../lyrics/saigonkick/mylife.html
Saigon Kick,"album: ""Saigon Kick"" (1991)",Month Of Sundays,../lyrics/saigonkick/monthofsundays.html
Saigon Kick,"album: ""Saigon Kick"" (1991)",Ugly,../lyrics/saigonkick/ugly.html
Saigon Kick,"album: ""The Lizard"" (1992)",Freedom,../lyrics/saigonkick/freedom.html
Saigon Kick,"album: ""The Lizard"" (1992)",World Goes Round,../lyrics/saigonkick/worldgoesround.html
Saigon Kick,"album: ""The Lizard"" (1992)",Chanel,../lyrics/saigonkick/chanel.html
Saigon Kick,"album: ""Water"" (1993)",I Love You,../lyrics/saigonkick/iloveyou.html
Sailor,"album: ""Sailor"" (1974)",Blue Desert,../lyrics/sailor/bluedesert.html
Sailor,"album: ""Sailor"" (1974)",Open Up The Door,../lyrics/sailor/openupthedoor.html
Sailor,"album: ""Trouble"" (1975)",The Old Nickelodeon Song,../lyrics/sailor/theoldnickelodeonsong.html
Sailor,"album: ""The Third Step"" (1976)",One Drink Too Many,../lyrics/sailor/onedrinktoomany.html
Sailor,"album: ""The Third Step"" (1976)",Cool Breeze,../lyrics/sailor/coolbreeze.html
